name,artist,played_at
Perfect,Ed Sheeran,2025-06-30T04:40:33.324Z
Woke Up,Sheff G,2025-06-30T04:40:32.160Z
"Tu Hain Toh (From ""Mr. And Mrs. Mahi"")",Bunny,2025-06-30T04:40:01.657Z
"O Shera - Teer Te Taj (Film Version) - From ""Kesari Chapter 2""",Shashwat Sachdev,2025-06-30T04:40:01.647Z
"Zamaana Lage (From ""Metro ... In Dino"")",Pritam,2025-06-30T04:39:34.890Z
AANKH,Sunidhi Chauhan,2025-06-30T04:39:34.846Z
"Godari Gattu Meedha (From ""Sankranthiki Vasthunam"")",Ramana Gogula,2025-06-30T04:39:33.176Z
"Dabidi Dibidi (From ""Daaku Maharaaj"")",Thaman S,2025-06-30T04:39:03.183Z
"Prema Velluva (From ""Hit - 3"") (Telugu)",Mickey J. Meyer,2025-06-30T04:39:02.787Z
Ecstasy,Ritvik Virmani,2025-06-30T04:39:01.638Z
Polytope,Daichi Miura,2025-06-30T04:38:32.379Z
Your Number,Darkoo,2025-06-30T04:38:32.287Z
On My Mind,Alex Warren,2025-06-30T04:38:32.211Z
All I Want,Kodaline,2025-06-30T04:38:02.275Z
Ordinary,Alex Warren,2025-06-30T04:38:02.069Z
Madhurashtakam Krishna Song,Mahalakshmi Iyer,2025-06-29T10:51:43.086Z
Madhurashtakam Krishna Song,Mahalakshmi Iyer,2025-06-29T10:33:31.121Z
Mere Kanha,Jaya Kishori,2025-06-29T09:40:56.440Z
Krishn Hain Vistaar (RadhaKrishn),Surya Raj Kamal,2025-06-29T09:36:56.123Z
Achyutashtakam,Suprabha KV,2025-06-29T09:31:27.403Z
Achyutashtakam,Suprabha KV,2025-06-28T17:56:50.122Z
Banwaari Krishna Muraari,Aishwarya Majmudar,2025-06-28T13:05:04.168Z
Shri Krishna Govind,Shankar Mahadevan,2025-06-28T13:00:37.724Z
Akhilanda Koti,Sarath Santosh,2025-06-28T12:51:04.517Z
Hare Krishna Hare Rama,Jubin Nautiyal,2025-06-28T12:46:04.557Z
"Achyutam Keshavam by Alka Yagnik - From ""Achyutam Keshavam By Alka Yagnik - Zee Music Devotional""",Sanjeev Chaturvedi,2025-06-28T12:41:04.629Z
Radha Rani Lage,Simpal Kharel,2025-06-28T12:36:04.872Z
Shree Krishna Govind Hare Murari,Maanya Arora,2025-06-28T12:32:34.160Z
Tum Prem Ho - Female,Simpal Kharel,2025-06-28T12:23:34.236Z
Kaun Kehte Hain Bhagwan Aate Nahi (Achyutam Keshavam),Payal Dev,2025-06-28T12:17:34.513Z
Shree Hari Stotram,G. Gayathri Devi,2025-06-28T12:12:04.449Z
Shri Krishna Govind Hare Murari,Jubin Nautiyal,2025-06-28T12:07:34.260Z
Madhurashtakam,Trisha Parui,2025-06-28T12:04:34.072Z
O Paalanhaare,A.R. Rahman,2025-06-28T12:00:34.212Z
O Paalanhaare,A.R. Rahman,2025-06-28T11:55:09.588Z
Achyutam Keshavam,Sandesh Shandilya,2025-06-28T11:44:27.146Z
Radhakrishna Naamawali Chant,Mohit Lalwani,2025-06-28T11:36:26.607Z
Jagajjalapalam,Suprabha KV,2025-06-28T11:28:28.926Z
Watermelon Sugar,Harry Styles,2025-06-28T11:24:06.275Z
Starboy,The Weeknd,2025-06-27T16:21:07.261Z
Shape of You,Ed Sheeran,2025-06-27T16:21:05.338Z
Save Your Tears,The Weeknd,2025-06-27T16:20:50.574Z
Don't Start Now,Dua Lipa,2025-06-27T16:20:38.049Z
Evarevaro,Vishal Mishra,2025-06-27T15:39:48.229Z
"Odiyamma (From ""Hi Nanna"") [TELUGU]",Dhruv Vikram,2025-06-27T15:39:44.870Z
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [TELUGU]",Nakash Aziz,2025-06-27T15:39:44.177Z
"Prema Velluva (From ""Hit - 3"") (Telugu)",Mickey J. Meyer,2025-06-27T15:39:42.234Z
Maiyya,Sachet-Parampara,2025-06-27T15:39:12.751Z
Sanu Ek Pal Chain,Rahat Fateh Ali Khan,2025-06-27T15:39:12.335Z
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2025-06-27T15:38:21.320Z
